learning rate,lambda parameters,n_iters,acc
0.005,0.01,100,0.7064
0.005,0.01,200,0.7064
0.005,0.01,500,0.4784
0.005,0.01,1000,0.7016
0.005,0.01,2000,0.7064
0.005,0.03,100,0.7032
0.005,0.03,200,0.6776
0.005,0.03,500,0.6776
0.005,0.03,1000,0.6984
0.005,0.03,2000,0.6936
0.005,0.05,100,0.7056
0.005,0.05,200,0.6952
0.005,0.05,500,0.6936
0.005,0.05,1000,0.7064
0.005,0.05,2000,0.7056
0.005,0.1,100,0.7064
0.005,0.1,200,0.7064
0.005,0.1,500,0.7064
0.005,0.1,1000,0.7064
0.005,0.1,2000,0.7064
0.001,0.01,100,0.6992
0.001,0.01,200,0.668
0.001,0.01,500,0.696
0.001,0.01,1000,0.7064
0.001,0.01,2000,0.708
0.001,0.03,100,0.7064
0.001,0.03,200,0.7064
0.001,0.03,500,0.7064
0.001,0.03,1000,0.7064
0.001,0.03,2000,0.7064
0.001,0.05,100,0.692
0.001,0.05,200,0.7064
0.001,0.05,500,0.6976
0.001,0.05,1000,0.6784
0.001,0.05,2000,0.6784
0.001,0.1,100,0.7064
0.001,0.1,200,0.7064
0.001,0.1,500,0.6992
0.001,0.1,1000,0.7064
0.001,0.1,2000,0.7064
0.0005,0.01,100,0.6984
0.0005,0.01,200,0.6976
0.0005,0.01,500,0.6896
0.0005,0.01,1000,0.708
0.0005,0.01,2000,0.5856
0.0005,0.03,100,0.7064
0.0005,0.03,200,0.6888
0.0005,0.03,500,0.6992
0.0005,0.03,1000,0.7064
0.0005,0.03,2000,0.7064
0.0005,0.05,100,0.7064
0.0005,0.05,200,0.6952
0.0005,0.05,500,0.6952
0.0005,0.05,1000,0.7056
0.0005,0.05,2000,0.7064
0.0005,0.1,100,0.696
0.0005,0.1,200,0.7064
0.0005,0.1,500,0.7064
0.0005,0.1,1000,0.6888
0.0005,0.1,2000,0.7064
0.0001,0.01,100,0.7088
0.0001,0.01,200,0.7104
0.0001,0.01,500,0.716
0.0001,0.01,1000,0.712
0.0001,0.01,2000,0.716
0.0001,0.03,100,0.7064
0.0001,0.03,200,0.7096
0.0001,0.03,500,0.7072
0.0001,0.03,1000,0.7064
0.0001,0.03,2000,0.7064
0.0001,0.05,100,0.7064
0.0001,0.05,200,0.7064
0.0001,0.05,500,0.7064
0.0001,0.05,1000,0.7064
0.0001,0.05,2000,0.7064
0.0001,0.1,100,0.7064
0.0001,0.1,200,0.7064
0.0001,0.1,500,0.7064
0.0001,0.1,1000,0.7064
0.0001,0.1,2000,0.7064
